	phcn		gc3n4			
504	0.268933302987934	519.5	0.14223989398869			
503	0.271678518630622	519	0.142475844379795			
502	0.276321147875947	518.5	0.142443728508044			
501	0.280448185188673	518	0.143728363378069			
500	0.285871987006638	517.5	0.140923287913004			
499	0.290566785360126	517	0.142632807086324			
498	0.295936071560747	516.5	0.143014002230751			
497	0.301747238904413	516	0.142332190953451			
496	0.308162382596448	515.5	0.144862834847746			
495	0.314995263606859	515	0.143363226169517			
494	0.322532620376534	514.5	0.144190426866229			
493	0.330200848063514	514	0.143614655832141			
492	0.338671832371655	513.5	0.145549998770338			
491	0.34780045529137	513	0.145327212993329			
490	0.357253525114625	512.5	0.145826311000265			
489	0.366916849832362	512	0.14710660588762			
488	0.376013523070102	511.5	0.145834990965603			
487	0.386829901559219	511	0.146115643178198			
486	0.396298413342306	510.5	0.147533370850072			
485	0.406116923129328	510	0.147390151421995			
484	0.415887828293839	509.5	0.147057419417372			
483	0.42442318172579	509	0.148528673542164			
482	0.432824976790371	508.5	0.150824524374066			
481	0.439751830383651	508	0.150964850480364			
480	0.447634066750021	507.5	0.149354716910164			
479	0.454229648610511	507	0.15132796236367			
478	0.460873218974054	506.5	0.150525065569905			
477	0.4674679901338	506	0.150212586817737			
476	0.474804092447586	505.5	0.150896857418549			
475	0.481350448284076	505	0.151908073380427			
474	0.488696319083807	504.5	0.152430317961597			
473	0.497877068458291	504	0.153263594634045			
472	0.50760075259457	503.5	0.154128697846067			
471	0.518465162812664	503	0.150811504426059			
470	0.530380591582807	502.5	0.153278061242942			
469	0.544337272649625	502	0.153639726465359			
468	0.559378244491937	501.5	0.153688912935608			
467	0.575222655695971	501	0.154442623259124			
466	0.591955307792431	500.5	0.157460357874971			
465	0.610592710161504	500	0.155380059515629			
464	0.627932836757143	499.5	0.155031414241219			
463	0.646380587538464	499	0.157263611993976			
462	0.663545053432004	498.5	0.15598476376751			
461	0.681437755028935	498	0.15911678459364			
460	0.697999993363247	497.5	0.156874460214656			
459	0.714736271284433	497	0.157092906008995			
458	0.729238361009878	496.5	0.15816054174557			
457	0.743962948012583	496	0.159011178348694			
456	0.758331010469591	495.5	0.159610095957017			
455	0.770230016538112	495	0.160525832300176			
454	0.782914929992235	494.5	0.159714255541073			
453	0.796167604200855	494	0.163197814963392			
452	0.806828797906952	493.5	0.161667247742124			
451	0.820002472018938	493	0.162267612011336			
450	0.831972117546405	492.5	0.164277023987084			
449	0.844044651074812	492	0.162668337077774			
448	0.857047954364308	491.5	0.163951525286909			
447	0.87083707973262	491	0.166785533969768			
446	0.884769616688505	490.5	0.165058220867505			
445	0.897627119227853	490	0.166306689215288			
444	0.910241393223031	489.5	0.166358769007316			
443	0.922405553683921	489	0.167505971092822			
442	0.934016967957415	488.5	0.168362394339505			
441	0.945227068186684	488	0.16694755998941			
440	0.954583648590578	487.5	0.168088975431358			
439	0.962824841318612	487	0.169275237360885			
438	0.971209189713858	486.5	0.169359143692486			
437	0.975225660842254	486	0.167578304137305			
436	0.980455971694507	485.5	0.170157700503583			
435	0.983909459534761	485	0.171841613779156			
434	0.985759737415953	484.5	0.171338175789551			
433	0.987803761896953	484	0.17278049669655			
432	0.987852475793964	483.5	0.17400003182654			
431	0.987582885448654	483	0.174157717863513			
430	0.988124796528999	482.5	0.175756278146596			
429	0.98738657935896	482	0.174988101214182			
428	0.986113446837667	481.5	0.177619577372488			
427	0.98638935045777	481	0.175934217436025			
426	0.98676396175997	480.5	0.178344354478211			
425	0.986770786875486	480	0.175384486297951			
424	0.985955702278497	479.5	0.178850685789595			
423	0.988175557788907	479	0.180209100364993			
422	0.990113793838196	478.5	0.179274557430267			
421	0.992338341794438	478	0.181191383109077			
420	0.995369357503355	477.5	0.179895174951935			
419	0.995713170478943	477	0.183601520151263			
418	0.998724052354724	476.5	0.18330929465155			
417	0.99934044198571	476	0.184755955541218			
416	1	475.5	0.184768975489225			
415	0.999752420523411	475	0.185568978961211			
414	0.999433518847313	474.5	0.186083990237932			
413	0.999308364057288	474	0.186561388331523			
412	0.998948170747208	473.5	0.188339334564924			
411	0.994829579378957	473	0.187870616436672			
410	0.994045975276614	472.5	0.188912212277232			
409	0.991945814635574	472	0.189935001526227			
408	0.988336885519409	471.5	0.192844236575349			
407	0.985055901457593	471	0.193302828077373			
406	0.980634959361312	470.5	0.193213135102214			
405	0.975888972927716	470	0.194965041439601			
404	0.971092822095459	469.5	0.197210259140365			
403	0.970719746601696	469	0.196285842831868			
402	0.962322771656865	468.5	0.196488375356421			
401	0.960880889142041	468	0.198523827228183			
400	0.956023056922304	467.5	0.200336493322937			
399	0.954433923441947	467	0.200578085691511			
398	0.949712677980531	466.5	0.202244639036408			
397	0.947048851310787	466	0.203765079631449			
396	0.945107373317314	465.5	0.202833430018503			
395	0.941906157399482	465	0.205768704963638			
394	0.937974402495002	464.5	0.206749541046833			
393	0.935438289818902	464	0.205030907909908			
392	0.932423227910541	463.5	0.20863164686429			
391	0.92732421450953	463	0.211361495963093			
390	0.925867743389013	462.5	0.212962949567955			
389	0.919848710027175	462	0.212578137771303			
388	0.917724831809138	461.5	0.213773079666169			
387	0.915198701172216	461	0.216954286962547			
386	0.909809536772557	460.5	0.216981773519451			
385	0.907317275220325	460	0.219267497725126			
384	0.903235709860427	459.5	0.221232063213294			
