	g-C3N4-TiO2/water	PhCN-TiO2/Ethanol	PhCN-TiO2/water			
547	0.066419	0.166646	0.120866			
546.5	0.066493	0.167829	0.121672			
546	0.065955	0.167127	0.120189			
545.5	0.065278	0.167159	0.122049			
545	0.066285	0.167346	0.122033			
544.5	0.06569	0.169001	0.121301			
544	0.065795	0.168818	0.12269			
543.5	0.06598	0.170117	0.122981			
543	0.065406	0.170329	0.12296			
542.5	0.065862	0.170964	0.122143			
542	0.065243	0.171638	0.1234			
541.5	0.066315	0.172368	0.124722			
541	0.065293	0.171424	0.123072			
540.5	0.066599	0.173202	0.124232			
540	0.065302	0.173682	0.124501			
539.5	0.066187	0.174209	0.124159			
539	0.065752	0.17471	0.1243			
538.5	0.066083	0.174883	0.125504			
538	0.065995	0.176065	0.125751			
537.5	0.065531	0.175434	0.126002			
537	0.066758	0.176698	0.126756			
536.5	0.06616	0.177048	0.125963			
536	0.06522	0.177544	0.125963			
535.5	0.065077	0.177624	0.126653			
535	0.064972	0.179141	0.127375			
534.5	0.065162	0.178554	0.126291			
534	0.067237	0.180328	0.128024			
533.5	0.066552	0.180538	0.128215			
533	0.065482	0.180971	0.129335			
532.5	0.065736	0.18018	0.128005			
532	0.067402	0.181989	0.128258			
531.5	0.06559	0.182351	0.128936			
531	0.066839	0.182324	0.129149			
530.5	0.065326	0.182926	0.12881			
530	0.065437	0.184216	0.129059			
529.5	0.065437	0.184949	0.130055			
529	0.066217	0.185008	0.130603			
528.5	0.065185	0.184523	0.131066			
528	0.066885	0.185826	0.13097			
527.5	0.066676	0.186998	0.131525			
527	0.066291	0.186532	0.130908			
526.5	0.067189	0.187454	0.131693			
526	0.066561	0.188456	0.131774			
525.5	0.067458	0.18929	0.133989			
525	0.067411	0.189754	0.133985			
524.5	0.067192	0.190032	0.133881			
524	0.066815	0.191918	0.133337			
523.5	0.065539	0.190234	0.13279			
523	0.065913	0.190866	0.132909			
522.5	0.067208	0.192449	0.133815			
522	0.0659	0.192394	0.133995			
521.5	0.067848	0.193118	0.136237			
521	0.066658	0.194859	0.135754			
520.5	0.065323	0.194558	0.135519			
520	0.066283	0.195224	0.134854			
519.5	0.06678	0.196067	0.135232			
519	0.067351	0.197543	0.136327			
518.5	0.066658	0.19766	0.136585			
518	0.067235	0.197935	0.137363			
517.5	0.067219	0.200072	0.137678			
517	0.066766	0.199797	0.136763			
516.5	0.067455	0.199381	0.137986			
516	0.068908	0.201328	0.138637			
515.5	0.065736	0.200966	0.137788			
515	0.067963	0.201651	0.139481			
514.5	0.06869	0.204037	0.140944			
514	0.067685	0.204106	0.139586			
513.5	0.067486	0.202441	0.140475			
513	0.067147	0.204082	0.140232			
512.5	0.069802	0.206898	0.140331			
512	0.068269	0.20749	0.141555			
511.5	0.067873	0.206477	0.141388			
511	0.067938	0.20712	0.141704			
510.5	0.069285	0.20869	0.143343			
510	0.068784	0.208897	0.144286			
509.5	0.067806	0.209735	0.143217			
509	0.069654	0.212326	0.143854			
508.5	0.068264	0.211719	0.144135			
508	0.068588	0.212159	0.144709			
507.5	0.069571	0.212939	0.144894			
507	0.068269	0.213135	0.145544			
506.5	0.069034	0.214202	0.145704			
506	0.069861	0.215428	0.145568			
505.5	0.069287	0.215351	0.147297			
505	0.068963	0.217567	0.146584			
504.5	0.067818	0.2166	0.146374			
504	0.069365	0.217596	0.146875			
503.5	0.069714	0.218834	0.147493			
503	0.069699	0.220397	0.149014			
502.5	0.069695	0.220433	0.148117			
502	0.070244	0.221911	0.148754			
501.5	0.070429	0.22288	0.149369			
501	0.071791	0.223559	0.150584			
500.5	0.070884	0.223112	0.150819			
500	0.069821	0.224643	0.14964			
499.5	0.070125	0.22585	0.151145			
499	0.070354	0.226465	0.15189			
498.5	0.070109	0.226118	0.151241			
498	0.071676	0.227856	0.152157			
497.5	0.071942	0.229295	0.15338			
497	0.072519	0.229433	0.153871			
496.5	0.071217	0.229949	0.153321			
496	0.071903	0.231611	0.154437			
495.5	0.071588	0.231328	0.154467			
495	0.071753	0.23244	0.154423			
494.5	0.071285	0.233314	0.1556			
494	0.073574	0.234704	0.15605			
493.5	0.071717	0.234241	0.156346			
493	0.073214	0.235481	0.157657			
492.5	0.072824	0.236993	0.157113			
492	0.072687	0.236864	0.157509			
491.5	0.072997	0.23634	0.158207			
491	0.071873	0.238752	0.15779			
490.5	0.073013	0.238475	0.158417			
490	0.07409	0.239937	0.159252			
489.5	0.073933	0.241666	0.160335			
489	0.073804	0.242172	0.16102			
488.5	0.073671	0.243359	0.160046			
488	0.074007	0.245502	0.162239			
487.5	0.074114	0.245393	0.161708			
487	0.075499	0.246727	0.162692			
486.5	0.074618	0.2472	0.163043			
486	0.074677	0.247632	0.163654			
485.5	0.074408	0.249689	0.16441			
485	0.076	0.24934	0.165348			
484.5	0.075759	0.249891	0.165532			
484	0.075876	0.252165	0.166804			
483.5	0.076125	0.252278	0.16646			
483	0.076136	0.252907	0.166456			
482.5	0.076057	0.254417	0.167728			
482	0.07708	0.25524	0.168141			
481.5	0.076199	0.255414	0.168968			
481	0.076055	0.25666	0.168727			
480.5	0.076486	0.25657	0.168083			
480	0.077277	0.258852	0.170587			
479.5	0.077008	0.259681	0.169892			
479	0.076886	0.259673	0.171444			
478.5	0.077669	0.261886	0.171428			
478	0.077613	0.262441	0.170917			
477.5	0.077871	0.262771	0.172942			
477	0.078284	0.26423	0.173065			
476.5	0.079197	0.264917	0.174004			
476	0.079094	0.266697	0.174789			
475.5	0.079743	0.267904	0.175907			
475	0.080885	0.269899	0.176987			
474.5	0.080221	0.270173	0.176386			
474	0.080651	0.27127	0.178171			
473.5	0.08026	0.271687	0.17735			
473	0.080617	0.272629	0.178653			
472.5	0.081449	0.272887	0.178439			
472	0.081333	0.274786	0.179306			
471.5	0.080809	0.275611	0.180698			
471	0.080979	0.276107	0.180701			
470.5	0.083412	0.278935	0.182539			
470	0.084224	0.280568	0.184282			
469.5	0.083688	0.281848	0.183852			
469	0.081964	0.28139	0.183321			
468.5	0.083896	0.282153	0.185921			
468	0.083398	0.283326	0.186086			
467.5	0.083633	0.285252	0.186761			
467	0.085955	0.286155	0.187686			
466.5	0.085636	0.287368	0.188149			
466	0.086062	0.28924	0.188366			
465.5	0.084744	0.289059	0.189601			
465	0.08564	0.291208	0.190038			
464.5	0.086242	0.291402	0.189768			
464	0.086783	0.292588	0.191409			
463.5	0.086546	0.293732	0.193014			
463	0.087986	0.296751	0.195052			
462.5	0.088173	0.296334	0.193928			
462	0.088709	0.298137	0.193378			
461.5	0.088876	0.298804	0.196227			
461	0.08913	0.299654	0.196927			
460.5	0.089806	0.300645	0.19618			
460	0.090509	0.303332	0.19804			
459.5	0.090677	0.304559	0.19983			
459	0.091578	0.304487	0.200768			
458.5	0.092327	0.305911	0.201183			
458	0.093122	0.30861	0.201509			
457.5	0.094344	0.311212	0.203703			
457	0.093434	0.310093	0.204147			
456.5	0.094012	0.312144	0.204059			
456	0.09406	0.312784	0.205216			
455.5	0.096276	0.313732	0.205494			
455	0.096242	0.314926	0.207146			
454.5	0.097017	0.316023	0.208143			
454	0.098986	0.318862	0.2104			
453.5	0.098418	0.31995	0.208874			
453	0.098622	0.32088	0.210082			
452.5	0.09986	0.321382	0.212567			
452	0.099488	0.323538	0.212648			
451.5	0.100162	0.324458	0.212494			
451	0.100964	0.325395	0.214924			
450.5	0.102675	0.326782	0.214716			
450	0.104	0.328651	0.214745			
449.5	0.104862	0.330479	0.217005			
449	0.104757	0.329931	0.216306			
448.5	0.104996	0.33199	0.216087			
448	0.106605	0.33295	0.217362			
447.5	0.10778	0.334409	0.219574			
447	0.108543	0.335007	0.219627			
446.5	0.109141	0.337921	0.219945			
446	0.111264	0.340773	0.223121			
445.5	0.111087	0.339442	0.221931			
445	0.110712	0.340157	0.223279			
444.5	0.11287	0.341697	0.223487			
444	0.115511	0.343741	0.225086			
443.5	0.11692	0.344932	0.225746			
443	0.116688	0.347568	0.227091			
442.5	0.118487	0.347458	0.22682			
442	0.120561	0.350786	0.227968			
441.5	0.123546	0.350153	0.229094			
441	0.123792	0.353011	0.231228			
440.5	0.124762	0.353576	0.230501			
440	0.126385	0.354114	0.231434			
439.5	0.127026	0.354582	0.232196			
439	0.1304	0.358197	0.2356			
438.5	0.13089	0.35734	0.233641			
438	0.133573	0.360739	0.234543			
