	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
38.5121	3646	2604	1901
38.5622	3573	2615	2044
38.6123	3656	2927	1836
38.6624	3323	2833	1953
38.7125	3094	2271	1986
38.7626	3375	2521	1882
38.8127	2958	2500	1829
38.8629	2740	2500	1751
38.913	2635	2510	1803
38.9631	2344	2656	1595
39.0132	2063	2760	1790
39.0633	2042	2375	1771
39.1134	2115	2542	1745
39.1635	1948	2698	1719
39.2136	1969	2688	1712
39.2637	1885	2406	1888
39.3138	1667	2573	1517
39.3639	1708	2823	1771
39.4141	1656	2510	1484
39.4642	1385	2740	1680
39.5143	1323	2646	1634
39.5644	1740	2073	1888
39.6145	1563	2479	1777
39.6646	1448	2573	1712
39.7147	1542	2490	1595
39.7648	1344	2813	1673
39.8149	1417	2438	1647
39.865	1177	2344	1452
39.9151	1448	2469	1465
39.9653	1250	2417	1569
40.0154	1323	2417	1641
40.0655	1208	2667	1732
40.1156	1292	2354	1634
40.1657	1375	3010	1621
40.2158	1177	2635	1536
40.2659	1146	3042	1738
40.316	1188	2854	1764
40.3661	1198	3198	1875
40.4162	1219	3125	1745
40.4663	1313	3292	1797
40.5164	1063	3479	2109
40.5666	1167	3469	2240
40.6167	1354	3760	2168
40.6668	1229	4042	2396
40.7169	979	4458	2513
40.767	1000	4510	2389
40.8171	1073	4708	2767
40.8672	990	4646	2930
40.9173	1073	5375	2884
40.9674	1177	5479	2995
41.0175	990	5781	3164
41.0676	1177	6000	3236
41.1178	1104	5917	3112
41.1679	1083	5615	3529
41.218	1052	6052	3340
41.2681	1042	6375	3437
41.3182	1146	5500	3522
41.3683	948	5990	3379
41.4184	1135	5146	3073
41.4685	1094	5344	2969
41.5186	1240	5427	2598
41.5687	1146	4708	2591
41.6188	1104	4531	2454
41.669	979	4313	2194
41.7191	1219	3802	2135
41.7692	948	3500	2077
41.8193	1094	3563	1986
41.8694	979	3344	1725
41.9195	844	3188	1921
41.9696	1042	3115	1536
42.0197	1021	3115	1510
42.0698	917	3125	1602
42.1199	1115	2844	1751
42.17	1125	2531	1530
42.2202	958	2583	1230
42.2703	1135	2250	1335
42.3204	1198	2552	1484
42.3705	990	2604	1452
42.4206	1010	2510	1276
42.4707	1094	2313	1497
42.5208	1063	2688	1230
42.5709	927	2302	1296
42.621	896	2510	1230
42.6711	813	2500	1393
42.7212	1135	2469	1243
42.7714	1010	2406	1322
42.8215	833	2177	1257
42.8716	896	2115	1400
42.9217	1094	2438	1276
42.9718	781	2698	1250
43.0219	1000	2271	1491
43.072	896	2167	1426
43.1221	1104	2281	1504
43.1722	1000	2240	1458
43.2223	948	2542	1406
43.2724	948	2656	1367
43.3225	969	2313	1569
43.3727	1000	2854	1686
43.4228	948	2792	1641
43.4729	958	2552	1458
43.523	823	2635	1497
43.5731	1063	2698	1576
43.6232	990	2917	1335
43.6733	1000	2646	1641
43.7234	854	2771	1523
43.7735	813	2677	1322
43.8236	938	2656	1621
43.8737	1000	3083	1628
43.9239	792	2531	1732
43.974	917	2781	1699
44.0241	885	2146	1484
44.0742	729	2625	1250
44.1243	917	2323	1497
44.1744	906	2188	1491
44.2245	1010	2240	1387
44.2746	990	2156	1569
44.3247	875	2260	1257
44.3748	917	2177	1341
44.4249	927	2146	1309
44.4751	1125	2135	1517
44.5252	844	2229	1224
44.5753	938	2021	1517
44.6254	1052	2083	1178
44.6755	844	1938	1289
44.7256	1000	2094	1224
44.7757	927	1750	1211
44.8258	906	1625	1204
44.8759	854	1865	1081
44.926	1010	2000	1009
44.9761	938	1583	1217
45.0263	885	2156	1113
45.0764	1115	2010	1107
45.1265	1115	1938	1263
45.1766	948	1740	1361
45.2267	771	1719	1061
45.2768	948	1719	1120
45.3269	865	1615	1074
45.377	969	1792	1237
45.4271	1073	1771	1068
45.4772	1052	1688	1087
45.5273	1031	1917	1107
45.5775	958	1667	1061
45.6276	1073	1573	1204
45.6777	1063	1573	1217
45.7278	1167	1677	1081
45.7779	1313	1427	1237
45.828	1104	1406	1211
45.8781	1115	1802	1276
45.9282	1063	1625	1061
45.9783	1177	1844	1087
46.0284	1083	1708	1185
46.0785	1042	1438	1204
46.1287	1063	1771	990
46.1788	1073	1563	996
46.2289	1104	1677	1126
46.279	1417	1396	1055
46.3291	1208	1583	1283
46.3792	1260	1719	1243
46.4293	1219	1667	1126
46.4794	1177	1844	1159
46.5295	1240	1667	1230
46.5796	1469	1646	1165
46.6297	1406	1583	1296
46.6798	1729	1396	1380
46.73	1688	1646	1263
46.7801	1396	1510	1270
46.8302	1344	1583	1237
46.8803	1708	1635	1426
46.9304	1688	1531	1341
46.9805	1813	1458	1380
47.0306	1990	1458	1608
47.0807	2094	1396	1439
47.1308	2125	1573	1432
47.1809	2479	1698	1335
47.231	2510	1656	1465
47.2812	2885	1708	1354
47.3313	2969	1500	1595
47.3814	3479	1458	1458
47.4315	3740	1510	1536
47.4816	3917	1604	1569
47.5317	4427	1292	1400
47.5818	4781	1458	1452
47.6319	4833	1552	1530
47.682	6177	1667	1289
47.7321	6542	1802	1367
47.7822	6719	1500	1452
47.8324	7646	1521	1243
47.8825	8198	1542	1393
47.9326	8427	1510	1406
47.9827	8969	1469	1452
48.0328	9292	1677	1439
48.0829	8531	1656	1406
48.133	8563	1708	1504
48.1831	7542	1552	1562
48.2332	7656	1792	1497
48.2833	6604	1531	1224
48.3334	6771	1615	1458
48.3836	5885	1385	1452
48.4337	5438	1583	1309
48.4838	4656	1531	1374
48.5339	4052	1573	1204
48.584	3854	1552	1302
48.6341	3750	1448	1120
48.6842	3219	1479	1348
48.7343	2927	1365	1243
48.7844	2833	1635	1374
48.8345	2198	1531	1289
48.8846	2396	1604	1204
48.9348	2073	1427	1081
48.9849	1948	1594	1113
49.035	1667	1521	1087
49.0851	1677	1844	1165
49.1352	1740	1552	1178
49.1853	1396	1292	1003
49.2354	1500	1625	1198
49.2855	1375	1281	1289
49.3356	1438	1188	977
