	PhCN	PhCN/TiO2-Ethanol	PhCN-TiO2-water			
494.754399	13286	2098	6976			
494.859822	13327	2091	6900			
494.965245	13523	2162	6792			
495.070667	13400	2160	6970			
495.17609	13330	2083	6800			
495.281513	13261	2174	7007			
495.386935	13302	2172	6888			
495.492357	13296	2128	6937			
495.597779	13432	2175	6880			
495.703201	13301	2132	6937			
495.808622	13335	2130	6958			
495.914043	13352	2084	6836			
496.019465	13629	2122	6996			
496.124886	13357	2150	6840			
496.230307	13395	2095	6968			
496.335727	13372	2074	6917			
496.441148	13395	2160	6877			
496.546568	13473	2077	6904			
496.651988	13558	2055	6870			
496.757408	13390	2143	6716			
496.862828	13494	2056	6844			
496.968248	13510	2064	6855			
497.073667	13404	2075	6823			
497.179087	13473	2018	6770			
497.284506	13457	2083	6960			
497.389925	13487	2149	6842			
497.495343	13585	2094	6864			
497.600762	13382	2131	6924			
497.70618	13442	2088	7075			
497.811599	13440	2143	6954			
497.917017	13522	2124	6850			
498.022435	13439	2119	6839			
498.127852	13528	2092	6999			
498.23327	13443	2094	6890			
498.338687	13524	2045	6795			
498.444105	13487	2130	6854			
498.549522	13560	2148	6808			
498.654938	13594	2120	6949			
498.760355	13516	2094	6924			
498.865772	13408	2127	6899			
498.971188	13358	2128	6891			
499.076604	13443	2121	6874			
499.18202	13408	2049	7003			
499.287436	13510	2088	6930			
499.392852	13500	2021	6847			
499.498267	13538	2118	6912			
499.603682	13668	2150	6968			
499.709097	13658	2077	6896			
499.814512	13623	2041	6984			
499.919927	13512	2133	6905			
500.025342	13663	2049	6899			
500.130756	13746	2078	6912			
500.23617	13678	2145	6962			
500.341584	13647	2050	6857			
500.446998	13600	2110	6885			
500.552412	13726	2077	6871			
500.657825	13616	2130	6905			
500.763239	13510	2062	6972			
500.868652	13716	2129	6857			
500.974065	13734	2154	6912			
501.079478	13558	2097	6977			
501.184891	13473	2093	6811			
501.290303	13631	2079	6892			
501.395715	13467	2168	6715			
501.501127	13722	2168	6831			
501.606539	13575	2108	6756			
501.711951	13561	2051	6883			
501.817363	13443	2067	6856			
501.922774	13447	2097	6916			
502.028185	13438	2087	6884			
502.133596	13698	2096	6889			
502.239007	13538	2122	6787			
502.344418	13518	2072	6796			
502.449829	13492	2062	6812			
502.555239	13504	2066	6762			
502.660649	13536	2188	6807			
502.766059	13545	2091	6768			
502.871469	13641	2118	6807			
502.976879	13582	2103	6777			
503.082288	13508	2101	6799			
503.187698	13618	2098	6842			
503.293107	13468	2111	6779			
503.398516	13552	2121	6773			
503.503924	13621	2031	6789			
503.609333	13687	2083	6887			
503.714742	13695	2133	6807			
503.82015	13654	2146	6847			
503.925558	13699	2129	6790			
504.030966	13596	2102	6787			
504.136374	13774	2052	6904			
504.241781	13619	2062	6686			
504.347188	13708	2097	6875			
504.452596	13723	2137	6759			
504.558003	13773	2009	6829			
504.66341	13631	2061	6742			
504.768816	13558	2054	6770			
504.874223	13573	1991	6770			
504.979629	13720	2056	6786			
505.085035	13428	2093	6850			
505.190441	13663	2082	6754			
505.295847	13789	2069	6838			
505.401253	13652	2048	6660			
505.506658	13755	2043	6808			
505.612063	13747	2085	6769			
505.717468	13599	2075	6750			
505.822873	13804	2030	6822			
505.928278	13526	2088	6697			
506.033683	13848	2070	6652			
506.139087	13602	2093	6728			
506.244491	13730	2088	6728			
506.349895	13761	2048	6681			
506.455299	13761	2054	6682			
506.560703	13745	2037	6689			
506.666106	13714	2045	6640			
506.77151	13736	2074	6617			
506.876913	13707	2012	6682			
506.982316	13819	2139	6701			
507.087718	13698	2105	6876			
507.193121	13697	2160	6710			
507.298523	13746	2015	6727			
507.403926	13781	2082	6721			
507.509328	13636	2045	6668			
507.61473	13768	2016	6738			
507.720131	13686	2112	6737			
507.825533	13702	2018	6610			
507.930934	13779	2075	6721			
508.036336	13647	2084	6711			
508.141737	13749	2106	6644			
508.247137	13728	2036	6735			
508.352538	13754	2047	6763			
508.457939	13763	1970	6649			
508.563339	13643	2050	6739			
508.668739	13743	1995	6677			
508.774139	13721	2025	6672			
508.879539	13743	2057	6590			
508.984938	13709	2062	6642			
509.090338	13685	2084	6666			
509.195737	13643	2043	6563			
509.301136	13695	2115	6669			
509.406535	13724	2035	6660			
509.511934	13822	2094	6527			
509.617332	13770	2070	6599			
509.722731	13759	2096	6755			
509.828129	13671	2123	6644			
509.933527	13861	2070	6757			
510.038925	13660	2084	6692			
510.144322	13718	2042	6631			
510.24972	13692	2098	6710			
510.355117	13609	2163	6674			
510.460514	13821	2054	6586			
510.565911	13658	2005	6648			
510.671308	13668	1966	6639			
510.776704	13604	2074	6579			
510.882101	13521	2066	6502			
510.987497	13547	2073	6522			
511.092893	13742	2089	6638			
511.198289	13798	2054	6569			
511.303685	13714	2028	6504			
511.40908	13564	2038	6700			
511.514476	13634	2068	6572			
511.619871	13480	2067	6613			
511.725266	13562	2048	6482			
511.830661	13631	2025	6565			
511.936055	13634	2041	6455			
512.04145	13724	2036	6362			
512.146844	13329	2022	6492			
512.252238	13483	2045	6527			
512.357632	13643	2054	6584			
512.463026	13427	2037	6483			
512.568419	13546	2031	6443			
512.673813	13599	1993	6620			
512.779206	13717	2047	6533			
512.884599	13648	1968	6558			
512.989992	13544	2035	6554			
513.095384	13579	1978	6505			
513.200777	13597	2027	6492			
513.306169	13773	1998	6637			
513.411561	13577	2104	6538			
513.516953	13648	2077	6353			
513.622345	13535	2057	6445			
513.727737	13561	1973	6566			
513.833128	13476	1989	6605			
513.938519	13479	2037	6440			
514.04391	13529	2010	6312			
514.149301	13649	2053	6422			
514.254692	13645	1995	6413			
514.360082	13566	1978	6556			
514.465473	13421	2015	6394			
514.570863	13715	2048	6350			
514.676253	13415	1985	6427			
514.781643	13469	2033	6444			
514.887032	13594	2003	6291			
514.992422	13634	2024	6465			
515.097811	13507	2045	6337			
515.2032	13638	2014	6423			
515.308589	13507	2087	6338			
515.413978	13492	1953	6498			
515.519366	13673	2066	6469			
515.624755	13618	1985	6312			
515.730143	13610	1975	6403			
